Manufacturer,Family,Type,Part,Core/Codename/Microarchitecture,# Cores,Die Size,Photo (die),License (die),Link (die),High Res Link,Floorplan image,License (floorplan),Link (floorplan),Notes
AMD,K5,CPU,K5 PR133,,1,,AMD-K5-PR133_2015-03-20-23.17.09.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,K5,CPU,PR100,,1,,AMD_K5_PR100_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,K5,CPU,,,1,,AMD_K5_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,K6,CPU,AMD-K6 266AFR,Model7(Little Foot),1,,AMD@250nm@K6@Model7(Little_Foot)_-_(cpuid570)@AMD-K6-266AFR@2.2V_CORE_A_9815MPM_1997.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,K6-2,CPU,AMD-K6-2 266AFR,Model8(Chomper),1,,AMD@250nm@K6@Model8(chomper)_-_(cpuid580)@AMD-K6-2_266AFR@2.2V_CORE_A_9822EPBW_1998.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,K6-2,CPU,AMD-K6-2 500AFX,Model8(Chomper XT),1,,AMD@250nm@K6@Model8(chomper_xt)_-_(cpuid58C)@AMD-K6-2_500AFX@2.2V_CORE_A_0023BPDW_1998_AMD.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,K6-2+,CPU,AMD-K6-2+ 500ACR,,1,,AMD_K6-2+_(Model13)_500ACR.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,K6-III,CPU,AMD-K6-III 450AHX,Model9(Sharptooth),1,,AMD@250nm@K6@Model9(sharptooth)_-_(cpuid591)@AMD-K6-III_450AHX@2.4V_CORE_B_9931FPDW_1998_AMD.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,K6-III+,CPU,AMD-K6-III+ 400ATZ,,1,,AMD@180nm@K6@Model13_-_(cpuid5D0)@AMD-K6-III+_400ATZ@1.6V_CORE_A_0336WPBW_1999_AMD.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,MCS-51,MCU,8751H,,1,,AMD_8751H_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,Opteron,CPU,,Barcelona,4,,Quad-Core_AMD_Opteron_processor.jpg,"Copyright, AMD",https://commons.wikimedia.org/wiki/File:Quad-Core_AMD_Opteron_processor.jpg,,,,,
AMD,Opteron,CPU,,Magny,12,,amd-opteron-magny_core-12-core-die.jpg,"CC BY-NC-SA 2.0, Tech Renegade",https://www.flickr.com/photos/88926496@N00/14496079126,,,,,
AMD,Opteron,CPU,,,6,,AMD_Opteron_Six_Cores.jpg,"Copyright, AMD",https://commons.wikimedia.org/wiki/File:AMD_Opteron_Six_Cores.jpg,,,,,
AMD,Phenom,CPU,HD9750WCJ4BGH,K10,,,AMD_Phenom_Agena_HD9750WCJ4BGH.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Turion,CPU,,Turion,2,,amd-turion-2005-dual-core.jpg,"CC-BY-SA-2.0, Cole L, https://www.flickr.com/photos/187597251@N05/",,,,,,
AMD,Xbox One,APU,,Durango,2 x 4,"22.20mm x 17.25mm (382,95mm²)",AMD@28nm@Jaguar@Durango@XBox_One@X877045_001_DG3000FEG84HR_1334PGS.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Xbox One-X,APU,,Scorpio,2 x 4,,AMD@16nm@Jaguar_Polaris_APU@Scorpio@XBoxOneX@DG5700GDA87IE_1721SUT_9GW3448T70061.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen,CPU,Athlon 3000G,Dali,,,AMD@14nm@Zen@Dali@Athlon_3000G@YD3000C6M20FH_A0_2002PGT.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen+,CPU,Ryzen 5 2600,Pinnalce Ridge,,,AMD@12nm@Zen+@Pinnalce_Ridge@Ryzen_5_2600@YD2600BBM6IAF_UA_1841PGT_9HIO968W80588.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen2,CPU,EPYC 7702 ES,Rome," 1 centralized I/O die, 8 compute dies",10.32 mm × 7.34 mm,AMD@7nm(12nmIOD)@Zen2@Rome@EPYC_7702_ES@2S1404E2VJUG5_BB_ES.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen2,CPU,Ryzen 3 4300U,Renoir,,,AMD@7nm@Zen2@Renoir@Ryzen_3_4300U@100-000000085_9JB4977P00253.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen2,CPU,Ryzen 5 3600,Matisse,,,AMD@7nm(12nmIOD)@Zen2@Matisse@Ryzen_5_3600@100-000000031_BF_1923SUT_9HM6935R90062.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen(Zeppelin),CPU,Ryzen 3 1200,Summit Ridge,,,AMD@14nm@Zen(Zeppelin)@Summit_Ridge@Ryzen_3_1200@YD1200BBM4KAE_UA_1724PGT_9GW9105S70241.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,Zen(Zeppelin),CPU,Ryzen 3 2200G,Raven Ridge,,,AMD@14nm@Zen(Zeppelin)@Raven_Ridge@Ryzen_3_2200G@YD2200C5M4MFB_AN_1750SUT_9HA7534X70147.jpg,"PD, Fritzchens Fritz, https://www.flickr.com/photos/130561288@N04/",,,,,,
AMD,,APU,,Bristol Ridge,,,amd_7thGen-DIE-SMALL-Final-Recolor-1200x847.jpg,"Copyright, AMD",https://www.forbes.com/sites/patrickmoorhead/2016/05/31/amds-7th-generation-apu-brings-many-performance-tweaks-and-the-last-hurrah-before-zen/?sh=371973a326b0,,,,,
AMD,,Bus controller,Am85C80,,,,AMD_Am85C80_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,,CPU,AMD-X5-133ADW (5x86-P75),,,,AMD_Am5x86_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,,CPU,,Barton,,,amd-barton_core.jpg,"PD, Martijn Boer, https://www.flickr.com/photos/sic66/",,,,,,
AMD,,Graphics,Am95C60,,,,AMD_Am95C60_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,,Math processor,Am9511A,,,,AMD_Am9511A_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AMD,,Network,Am7990 (LANCE),,,,AMD_Am7990_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,ADSP-218x,DSP,ADSP-2141L,ADSP-218x,1,,ANALOG_DEVICES_ADSP-2141L_KS-N1_ERCF2737B-1.0_0140_Safe_Net_TM_DSP_C4_SINGAPORE.jpg,"PD, Epop",https://commons.wikimedia.org/wiki/Special:ListFiles/Epop,,,,,
Analog Devices,,ALU,ADSP-3220 (ALU),,,,AD_ADSP-3220_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,DSP,ADSP-2100A,,,,Analog_Devices_ADSP-2100A_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,DSP,ADSP-21020,,,,Analog_Devices_ADSP-21020_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,DSP,ADSP-2111,,,,Analog_Devices_ADSP-2111_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,DSP,ADSP-21msp59,,,,AD_ADSP-21msp59_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,Multiplier,ADSP-1009 (multiplier),,,,AD_ADSP-1009_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,Multiplier,ADSP-1010B (multiplier),,,,AD_ADSP-1010B_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Analog Devices,,Multiplier,ADSP-3210 (multiplier),,,,AD_ADSP-3210_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Angstrem,Z80,CPU,T34VM1,Z80,1,,angstrem-t34vm1-Z80-HD.jpg,"CC-BY-3.0, Zeptobars",https://zeptobars.com/,,,,,
Apple,iPhone,SoC,339S0030,ARM11,,,iphone-339S0030-arm-die.jpg,"CC-BY-3.0, Nick V. Chernyy",https://siliconpr0n.org/archive/doku.php?id=nico:start,,,,,
Apple,iPod,SoC,PP5020E (iPod),ARM,2,,apple-pp5020e-4x-stitched.jpg,"CC-BY-3.0, Nick V. Chernyy",https://siliconpr0n.org/archive/doku.php?id=nico:start,,,,,
Apple,,Bus controller,peripheral interface controller with NCR 65CX02 CPU ,,,,Apple_PIC_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
ARM,ARM1,CPU,,ARM1,1,,arm1_die_shot.png,"Copyright, ARM Ltd.",,,,,,
ARM,ARM3,CPU,,ARM3,1,,arm3_die_shot.png,"Copyright, Acorn Computers",,,,,,
ARM,ARM8,CPU,,ARM810,1,,ARM-810-lq.jpg,"Copyright, ARM",https://www.computerhistory.org/collections/catalog/102652344,,arm-arm810-layout.jpg,,"Copyright, ARM",http://web.archive.org/web/20160423182819/https://hotchips.org/wp-content/uploads/hc_archives/hc08/2_Mon/HC8.S4/HC8.4.1.pdf
Atmel,AVR,MCU,ATMEGA328,,1,,atmel_atmega328_s1_20x.jpg,"CC-BY-4.0, Ryan Cornateanu",https://siliconpr0n.org/archive/doku.php?id=ryancor:start,,,,,
Atmel,Attiny,MCU,ATTINY45V,,1,,Atmel ATTiny45V.jpg,"CC BY 2.0, Travis Goodspeed",https://www.flickr.com/photos/travisgoodspeed/albums/72157625055541964,,,,,
Atmel,AVR,MCU,AT90USB162,,1,,atmel-avr-atusb162-HD.jpg,"CC-BY-3.0, Zeptobars",https://zeptobars.com/,,,,,
Atmel,AVR,MCU,ATMEGA3216,,1,2570 x 3370 ?m (8.66 mm2) ,atmega3216_bf_neo5x.jpg,"CC-BY, Andrew Zonenberg http://siliconexposed.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=az:start,,,,,
Atmel,AVR,MCU,ATMEGA32U4,,1,4150 x 3600 ?m (14.94 mm2) ,atmega32u4_bf_neo5x_cropped.jpg,"CC-BY, Andrew Zonenberg http://siliconexposed.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=az:start,,,,,
Atmel,AVR,MCU,ATMEGA48,,1,2520 ?m x 2780 ?m (7.01 mm2) ,atmega48_bf_neo10x_3k.jpg,"CC-BY, Andrew Zonenberg http://siliconexposed.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=az:start,,,,,
Atmel,AVR,MCU,Atmega8,,1,2855x2795µm,atmega8-HD.jpg,"CC-BY-3.0, Zeptobars",https://zeptobars.com/,,,,,
Atmel,AVR,MCU,ATMEGA88,,1,,atmel_atmega88_mz.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
Atmel,AVR Attiny,MCU,Attiny13a,,1,,atmel-attiny13a-HD.jpg,"CC-BY-3.0, Zeptobars",https://zeptobars.com/,,,,,
Atmel,AVR ATTiny,MCU,attiny4,,1,,atmel-attiny4-Si-HD.jpg,"CC-AT-3.0, Zeptobars",https://zeptobars.com/,,,,,
Atmel,DIOPSIS 740,DSP,AT572D740,,2,,,,,,Atmel-Diopsis.jpg,"Copyright, Atmel",https://commons.wikimedia.org/wiki/File:Diopsis.jpg,
Atmel,MCS-51,MCU,AT89C51ED2,,1,,atmel_at89c51ed2_mz_20x.jpg,"CC-BY-3.0, Markus Kammerstetter",http://web.archive.org/web/20210130044811/https://siliconpr0n.org/archive/doku.php?id=mne%3Astart,,,,,
Atmel,,RF,AT86RF230,,,,Atmel AT86RF230.jpg,"CC BY 2.0, Travis Goodspeed",https://www.flickr.com/photos/travisgoodspeed/albums/72157625055541964,,,,,
Atmel,,SoC,ATSAMG55J19MU,,,,atmel-atsamg55j19-die.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
Atmel,,SoC,ATWINC1500B,,,,atmel_atwinc1500b_lg_mz_mit20x.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
AT&T,BELLMAC-4,,,,,,AT%26T_BELLMAC-4_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AT&T,DSP16,DSP,DSP16A,,1,,AT%26T_DSP16A_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AT&T,DSP16xx,DSP,DSP1604,DSP1600,1,,AT%26T_DSP1604_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AT&T,DSP16xx,DSP,DSP1616,DSP1600,1,,AT%26T_DSP1616_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
AT&T,DSP32,DSP,DSP32C,,1,,att-DSP32C-308M_small.jpg,g0b,,,,,,
AT&T,DSP32,DSP,,,1,,AT%26T_WE_DSP32_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Baikal,MIPS,,TC-1,,,,baikal-T1-Si-HD.jpg,"CC-BY-3.0, Zeptobars",https://zeptobars.com/,,,,,
BIT,,ALU,B2120 (ALU),,,,BIT_B2120_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
BIT,,ALU,B8045 (ALU),,,,BIT_B8045_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
BIT,,Multiplier,B2110 (multiplier),,,,BIT_B2110_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Broadcom,,Network,BCM1103,,,,Broadcom_BCM1103_HV.jpg,"CC-BY-SA-4.0, Antoinebercovici",https://commons.wikimedia.org/w/index.php?title=Special:ListFiles/Antoinebercovici,,,,,
Broadcom,,SoC,BCM7019,,,,broadcom-bcm7019-stb.jpg,"PD, Martijn Boer, https://www.flickr.com/photos/sic66/",,,,,,
Bt,,RAMDAC,Bt457KPJ135 (RAMDAC),,,,Bt_Bt457KPJ135_RAMDAC_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Bt,,RAMDAC,Bt459KG135 (RAMDAC),,,,Bt_Bt459KG135_RAMDAC_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Bt,,RAMDAC,Bt462KG150,,,,Bt_Bt462KG150_RAMDAC_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Bull,,CPU,DSP6000 (CPU),,,,Bull_DPS_6000_CPU_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Bull,,Memory controller,DSP6000 (VMMU),,,,Bull_DPS_6000_VMMU_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Butterfly,,DSP,9124,,,,Butterfly_DSP_9124_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
CBM,6502,CPU,65CE02-2,4502R2?,1,4.4 x 3.7 mm ,cbm_65ce02r2_mz_mit20x.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
CBM,6502,CPU,65CE02-4,4502R1?,1, 4.3 x 3.6 mm,cbm_65ce02r1_mz_mit20x.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
Chipcon,MCS-51,MCU,CC1110,8051,,,Chipcon CC1110.jpg,"CC BY 2.0, Travis Goodspeed",https://www.flickr.com/photos/travisgoodspeed/albums/72157625055541964,,,,,
Compaq,Alpha,CPU,21364,21364,1,,alpha_21364_die_shot.png,"Copyright, Compaq",https://en.wikichip.org/,,,,,
Cypress,,SoC,CY8C4245AXI,Cortex-M0,,2120 x 3210 ?m (6.80 mm2) ,cy8c4245axi_bf_neo10x_3k.jpg,"CC-BY, Andrew Zonenberg http://siliconexposed.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=tommi:start,,cy8c4245axi_active_bf_neo10x_2k_annotated-layout.jpg,"CC-BY, Andrew Zonenberg http://siliconexposed.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=az:start,
Cypress,,SoC,CYBL10563-68FNXI,Cortex-M0,1,,cypress_cybl10563-68fxni_mz_mit20x.jpg,"CC-BY, John McMaster, http://uvicrec.blogspot.com/",https://siliconpr0n.org/archive/doku.php?id=mcmaster:start,,,,,
Cyrix,386,FPU,Cx83S87 (FasMath),,1,,Cyrix_FasMath_Cx83S87_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,386,FPU,"FasMath, Cyrix CX-83D87-33-GP",,1,,Cyrix_FasMath_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,486,CPU,Cx486DLC,,1,,Cyrix_Cx486DLC_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,486,CPU,Cx486DRx2,,,,Cyrix_Cx486DRx2_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,486,CPU,Cx486DX2-80,,1,,Cyrix_Cx486DX2-80_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,486,CPU,Cx486DX2-V66,,1,,Cyrix_Cx486DX2-V66_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,486,CPU,Cx486DX-40,,1,,Cyrix_Cx486DX-40_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,486,CPU,Cx486S,,1,,Cyrix_Cx486S_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,5x86,CPU,5x86,,1,,Cyrix_5x86_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,6x86,CPU,6x86 80GP (P90+),,1,,Cyrix_6x86_early_die.jpg,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,6x86,CPU,6x86L-PR200+GP,,1,,Cyrix_6x86_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,6x86,CPU,6x86MX-PR200,,1,,Cyrix_6x86MX_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Cyrix,MediaGXm,,MediaGXm-266GP,,,,Cyrix_MediaGXm_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Dallas,iButton,,DS83C950,8051 compatable,,,dallas-DS83C950.jpg,"CC BY 2.0, Travis Goodspeed",https://www.flickr.com/photos/travisgoodspeed/albums/72157625055541964,,,,,
Data General,Eclipse,,microEclipse F AP 02,,,,DGC_microEclipse_F_AP_02_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
Data General,Eclipse,,microEclipse F AP 03,,,,DGC_microEclipse_F_AP_03_die.JPG,"CC-BY-3.0, Pauli Rautakorpi",https://commons.wikimedia.org/wiki/User:Birdman86,,,,,
