Manufacturer,Family,S-Spec number,Speed,Bus speed,L2 cache size,Package type,Part number,Alternative part number 1,Alternative part number 2,Alternative part number 3,Alternative part number 4,Alternative part number 5,Alternative part number 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5
Intel,8080,S2292,2MHz,,,Plastic DIP,P8080A,,,,,,,http://www.cpu-world.com/sspec/S2/S2292.html,,,,
Intel,8085,S2629,3MHz,,,Plastic DIP,P8085A,,,,,,,http://www.cpu-world.com/sspec/S2/S2629.html,,,,
Intel,8085,S2630,3MHz,,,Side-brazed CerDIP,C8085A,,,,,,,http://www.cpu-world.com/sspec/S2/S2630.html,,,,
Intel,8085,S2631, ,,,Side-brazed CerDIP/PDIP,C8085,P8085,,,,,,http://www.cpu-world.com/sspec/S2/S2631.html,,,,
Intel,8085,S2632, ,,,Plastic DIP,P8085,,,,,,,http://www.cpu-world.com/sspec/S2/S2632.html,,,,
Intel,8085,S2812,3MHz,,,Plastic DIP,P8085AH,,,,,,,http://www.cpu-world.com/sspec/S2/S2812.html,,,,
Intel,8085,S4069, ,,,Plastic DIP,P8085AH,,,,,,,http://www.cpu-world.com/sspec/S4/S4069.html,,,,
Intel,8085,S4380, ,,,Side-brazed CerDIP,C8085A-2,C8085AH-2,,,,,,http://www.cpu-world.com/sspec/S4/S4380.html,,,,
Intel,8085,S4409, ,,,Plastic DIP,P8085A,,,,,,,http://www.cpu-world.com/sspec/S4/S4409.html,,,,
Intel,8085,S4740, ,,,CerDIP,QM8085AD1,QM8085AHD1,,,,,,http://www.cpu-world.com/sspec/S4/S4740.html,,,,
Intel,8085,S4741, ,,,Plastic DIP,QM8085AH-2P5,,,,,,,http://www.cpu-world.com/sspec/S4/S4741.html,,,,
Intel,8085,S4744, ,,,CerDIP,QM8085AH-1D1,,,,,,,http://www.cpu-world.com/sspec/S4/S4744.html,,,,
Intel,8085,S4785, ,,,CerDIP,QM8086D1,,,,,,,http://www.cpu-world.com/sspec/S4/S4785.html,,,,
Intel,8086,S2864,5MHz,,,Side-brazed CerDIP,C8086,,,,,,,http://www.cpu-world.com/sspec/S2/S2864.html,,,,
Intel,8086,S2865,4MHz,,,Side-brazed CerDIP/CerDIP,C8086-4,D8086-4,,,,,,http://www.cpu-world.com/sspec/S2/S2865.html,,,,
Intel,8086,S2866,4MHz,,,Side-brazed CerDIP,C8086-4,,,,,,,http://www.cpu-world.com/sspec/S2/S2866.html,,,,
Intel,8086,S2956,4MHz,,,CerDIP,D8086-4,,,,,,,http://www.cpu-world.com/sspec/S2/S2956.html,,,,
Intel,8086,S4164, ,,,CerDIP,D8086-2,,,,,,,http://www.cpu-world.com/sspec/S4/S4164.html,,,,
Intel,8086,SX011,8MHz,,,CerDIP,D8086-2,,,,,,,http://www.cpu-world.com/sspec/SX/SX011.html,,,,
Intel,8086,SX020,5MHz,,,PLCC/Plastic DIP,N80C86AL,P80C86AL,,,,,,http://www.cpu-world.com/sspec/SX/SX020.html,,,,
Intel,8086,SX022,8MHz,,,PLCC/Plastic DIP,N80C86AL-2,P80C86AL-2,,,,,,http://www.cpu-world.com/sspec/SX/SX022.html,,,,
Intel,8086,SX071,8MHz,,,Plastic DIP,P80C86AL-2,,,,,,,http://www.cpu-world.com/sspec/SX/SX071.html,,,,
Intel,8087,S40302,,,,Side-brazed CerDIP,C8087-6,,,,,,,http://www.cpu-world.com/sspec/S4/S40302.html,,,,
Intel,8088,S40312,5MHz,,,Plastic DIP,P80C88,,,,,,,http://www.cpu-world.com/sspec/S4/S40312.html,,,,
Intel,8088,S40320,8MHz,,,Plastic DIP,P8088-2,,,,,,,http://www.cpu-world.com/sspec/S4/S40320.html,,,,
Intel,8088,S40377,8MHz,,,Plastic DIP,P8088-2,,,,,,,http://www.cpu-world.com/sspec/S4/S40377.html,,,,
Intel,8088,SX016,8MHz,,,PLCC/Plastic DIP,N80C88AL-2,P80C88AL-2,,,,,,http://www.cpu-world.com/sspec/SX/SX016.html,,,,
Intel,8088,SX018,5MHz,,,PLCC/Plastic DIP,N80C88AL,P80C88AL,,,,,,http://www.cpu-world.com/sspec/SX/SX018.html,,,,
Intel,8088,SX038,8MHz,,,Plastic DIP,P8088-2,,,,,,,http://www.cpu-world.com/sspec/SX/SX038.html,,,,
Intel,80186,Q7697,8MHz,,,CPGA,A80C186,,,,,,,http://www.cpu-world.com/sspec/Q7/Q7697.html,,,,
Intel,80186,Q7721,8MHz,,,PLCC,TN80C186,,,,,,,http://www.cpu-world.com/sspec/Q7/Q7721.html,,,,
Intel,80186,Q7746,12MHz,,,CPGA,A80C186-12,,,,,,,http://www.cpu-world.com/sspec/Q7/Q7746.html,,,,
Intel,80186,Q8093,16MHz,,,CPGA,A80C186EC16,,,,,,,http://www.cpu-world.com/sspec/Q8/Q8093.html,,,,
Intel,80186,Q8485, ,,,CPGA,A80C186CPICE,,,,,,,http://www.cpu-world.com/sspec/Q8/Q8485.html,,,,
Intel,80186,Q8583, ,,,QFP,FA80C186CP,,,,,,,http://www.cpu-world.com/sspec/Q8/Q8583.html,,,,
Intel,80186,S40054,6MHz,,,CLCC,C80186-6,,,,,,,http://www.cpu-world.com/sspec/S4/S40054.html,,,,
Intel,80186,S40142,8MHz,,,CLCC,C80186-3,R80186-3,,,,,,http://www.cpu-world.com/sspec/S4/S40142.html,,,,
Intel,80186,S40143,6MHz,,,CLCC,C80186-6,,,,,,,http://www.cpu-world.com/sspec/S4/S40143.html,,,,
Intel,80186,S40173,8MHz,,,CLCC,C80186-3,,,,,,,http://www.cpu-world.com/sspec/S4/S40173.html,,,,
Intel,80186,S4985,8MHz,,,CLCC,R80186,,,,,,,http://www.cpu-world.com/sspec/S4/S4985.html,,,,
Intel,80186,S58165,8MHz,,,CLCC,R80186,,,,,,,http://www.cpu-world.com/sspec/S5/S58165.html,,,,
Intel,80186,S58168,8MHz,,,CLCC,R80186,,,,,,,http://www.cpu-world.com/sspec/S5/S58168.html,,,,
Intel,80186,SV088,10MHz,,,PLCC/CLCC,N80C186,R80C186,,,,,,http://www.cpu-world.com/sspec/SV/SV088.html,,,,
Intel,80186,SV108,8MHz,,,CPGA,A80186I,,,,,,,http://www.cpu-world.com/sspec/SV/SV108.html,,,,
Intel,80186,SV226,10MHz,,,CLCC,R80186-10C,,,,,,,http://www.cpu-world.com/sspec/SV/SV226.html,,,,
Intel,80186,SV310, ,,,CLCC,R80C186,,,,,,,http://www.cpu-world.com/sspec/SV/SV310.html,,,,
Intel,80186,SV871,10MHz,,,CPGA,A8018610,,,,,,,http://www.cpu-world.com/sspec/SV/SV871.html,,,,
Intel,80186,SV959,20MHz,,,CPGA,A80C186XL20,,,,,,,http://www.cpu-world.com/sspec/SV/SV959.html,,,,
Intel,80286,Q303,8MHz,,,PGA,A80286-8,,,,,,,http://www.cpu-world.com/sspec/Q3/Q303.html,,,,
Intel,80286,S40090,4MHz,,,CLCC,C80286-4,,,,,,,http://www.cpu-world.com/sspec/S4/S40090.html,,,,
Intel,80286,S40172,6MHz,,,PGA/CLCC,A80286-6,C80286-6,R80286-6,,,,,http://www.cpu-world.com/sspec/S4/S40172.html,,,,
Intel,80286,S40194,8MHz,,,PGA/CLCC,A80286-8,C80286-8,R80286-6,,,,,http://www.cpu-world.com/sspec/S4/S40194.html,,,,
Intel,80286,S40262,8MHz,,,CLCC,R80286-8,,,,,,,http://www.cpu-world.com/sspec/S4/S40262.html,,,,
Intel,80286,S40282,10MHz,,,CLCC,R80286-10,,,,,,,http://www.cpu-world.com/sspec/S4/S40282.html,,,,
Intel,80286,S40283,10MHz,,,CLCC,R80286-10,,,,,,,http://www.cpu-world.com/sspec/S4/S40283.html,,,,
Intel,80286,S40303,6MHz,,,CLCC,R80286-6,,,,,,,http://www.cpu-world.com/sspec/S4/S40303.html,,,,
Intel,80286,S40364,12MHz,,,PGA/CLCC,A80286-12,R80286-12,,,,,,http://www.cpu-world.com/sspec/S4/S40364.html,,,,
Intel,80286,S40365,12MHz,,,CLCC,R80286-12,,,,,,,http://www.cpu-world.com/sspec/S4/S40365.html,,,,
Intel,80286,S40375,8MHz,,,PLCC,N80286-8,,,,,,,http://www.cpu-world.com/sspec/S4/S40375.html,,,,
Intel,80286,S54012,6MHz,,,PGA,CG80286-6 B,,,,,,,http://www.cpu-world.com/sspec/S5/S54012.html,,,,
Intel,80286,S54036,6MHz,,,PGA,CG80286-6 C,,,,,,,http://www.cpu-world.com/sspec/S5/S54036.html,,,,
Intel,80286,S54046,8MHz,,,PGA,CG80286-8 C,,,,,,,http://www.cpu-world.com/sspec/S5/S54046.html,,,,
Intel,80286,S54067,8MHz,,,PGA,CG80286-8 E,,,,,,,http://www.cpu-world.com/sspec/S5/S54067.html,,,,
Intel,80286,S54084,10MHz,,,PGA,CG80286-10,,,,,,,http://www.cpu-world.com/sspec/S5/S54084.html,,,,
Intel,80286,S54086,10MHz,,,PGA,A80286-10,CG80286-10,,,,,,http://www.cpu-world.com/sspec/S5/S54086.html,,,,
Intel,80286,S54103,8MHz,,,PGA,CG80286-8,,,,,,,http://www.cpu-world.com/sspec/S5/S54103.html,,,,
Intel,80286,SX004,10MHz,,,PLCC,N80286-10,,,,,,,http://www.cpu-world.com/sspec/SX/SX004.html,,,,
Intel,80286,SX005,12MHz,,,PLCC,N80286-12,,,,,,,http://www.cpu-world.com/sspec/SX/SX005.html,,,,
Intel,80286,SX043,10MHz,,,PLCC,N80286-10,,,,,,,http://www.cpu-world.com/sspec/SX/SX043.html,,,,
Intel,80286,SX051,12MHz,,,PGA,A80286-12,,,,,,,http://www.cpu-world.com/sspec/SX/SX051.html,,,,
Intel,80286,SX102,12MHz,,,PLCC,N80286-12,,,,,,,http://www.cpu-world.com/sspec/SX/SX102.html,,,,
Intel,80286,SX109,10MHz,,,PLCC,N80286-10,,,,,,,http://www.cpu-world.com/sspec/SX/SX109.html,,,,
Intel,80286,SX110,10MHz,,,PLCC,N80286-10,,,,,,,http://www.cpu-world.com/sspec/SX/SX110.html,,,,
Intel,80286,SX111,12MHz,,,PLCC,N80286-12,,,,,,,http://www.cpu-world.com/sspec/SX/SX111.html,,,,
Intel,80286,SX123,8MHz,,,CLCC,R80286-8,,,,,,,http://www.cpu-world.com/sspec/SX/SX123.html,,,,
Intel,80286,SX241,12MHz,,,CPGA/PLCC,A80C286-12,N80C286-12,,,,,,http://www.cpu-world.com/sspec/SX/SX241.html,,,,
Intel,80286,SX242,12MHz,,,PLCC,N80286-12,,,,,,,http://www.cpu-world.com/sspec/SX/SX242.html,,,,
Intel,80286,SX330,10MHz,,,PLCC,N80286-10,,,,,,,http://www.cpu-world.com/sspec/SX/SX330.html,,,,
Intel,80286,SXE50,10MHz,,,PLCC,N80286-10,,,,,,,http://www.cpu-world.com/sspec/SX/SXE50.html,,,,
Intel,80376,SX112,16MHz,,,Ceramic PGA,A80376-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX112.html,,,,
Intel,80376,SX137,16MHz,,,Plastic QFP,NG80376-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX137.html,,,,
Intel,80386,Q0014, , ,,Ceramic PGA,A80386,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0014.html,,,,
Intel,80386,Q0050,33MHz,33MHz,,QFP,KU80386EX33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0050.html,,,,
Intel,80386,Q166,33MHz,33MHz,,PGA,MG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/Q1/Q166.html,,,,
Intel,80386,Q8058,33MHz,33MHz,,QFP,KU80286EX33 SC,,,,,,,http://www.cpu-world.com/sspec/Q8/Q8058.html,,,,
Intel,80386,Q8502, , ,,Ceramic PGA,A80386EXI,,,,,,,http://www.cpu-world.com/sspec/Q8/Q8502.html,,,,
Intel,80386,Q8529,25MHz,25MHz,,QFP,KU80386EX-25 SA,,,,,,,http://www.cpu-world.com/sspec/Q8/Q8529.html,,,,
Intel,80386,Q869,25MHz,25MHz,,QFP,FA80386BX25,,,,,,,http://www.cpu-world.com/sspec/Q8/Q869.html,,,,
Intel,80386,SD18,25MHz,25MHz,,Ceramic PGA,A80386DX-25 IV,,,,,,,http://www.cpu-world.com/sspec/SD/SD18.html,,,,
Intel,80386,SM177,16MHz,16MHz,,Ceramic PGA,MG80386-16,,,,,,,http://www.cpu-world.com/sspec/SM/SM177.html,,,,
Intel,80386,SX025,16MHz,16MHz,,Ceramic PGA,A80386-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX025.html,,,,
Intel,80386,SX050,25MHz,25MHz,,Ceramic PGA,A80386-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX050.html,,,,
Intel,80386,SX065,20MHz,20MHz,,Ceramic PGA,A80386-20,A80386DX-20,,,,,,http://www.cpu-world.com/sspec/SX/SX065.html,,,,
Intel,80386,SX070,20MHz,20MHz,,Ceramic PGA,A80386-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX070.html,,,,
Intel,80386,SX080,16MHz,16MHz,,Ceramic PGA,A80386SX-16I,,,,,,,http://www.cpu-world.com/sspec/SX/SX080.html,,,,
Intel,80386,SX098,16MHz,16MHz,,Ceramic PGA,A80386DX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX098.html,,,,
Intel,80386,SX116,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX116.html,,,,
Intel,80386,SX132,20MHz,20MHz,,Ceramic PGA,A80386DX-20 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX132.html,,,,
Intel,80386,SX133,25MHz,25MHz,,Ceramic PGA,A80386DX-25 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX133.html,,,,
Intel,80386,SX153,16MHz,16MHz,,Ceramic PGA,A80386DX-16 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX153.html,,,,
Intel,80386,SX158,25MHz,25MHz,,Ceramic PGA,A80386DX-25 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX158.html,,,,
Intel,80386,SX181,33MHz,33MHz,,Ceramic PGA,A80386DX33I,,,,,,,http://www.cpu-world.com/sspec/SX/SX181.html,,,,
Intel,80386,SX204,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX204.html,,,,
Intel,80386,SX211,33MHz,33MHz,,Ceramic PGA,A80386DX-33 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX211.html,,,,
Intel,80386,SX213,16MHz,16MHz,,Ceramic PGA,A80386DX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX213.html,,,,
Intel,80386,SX214,20MHz,20MHz,,Ceramic PGA,A80386DX-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX214.html,,,,
Intel,80386,SX215,25MHz,25MHz,,Ceramic PGA,A80386DX-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX215.html,,,,
Intel,80386,SX217,20MHz,20MHz,,Ceramic PGA,A80386DX-20 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX217.html,,,,
Intel,80386,SX218,25MHz,25MHz,,Ceramic PGA,A80386DX-25 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX218.html,,,,
Intel,80386,SX219,33MHz,33MHz,,Ceramic PGA,A80386DX-33 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX219.html,,,,
Intel,80386,SX234,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX234.html,,,,
Intel,80386,SX235,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX235.html,,,,
Intel,80386,SX236,16MHz,16MHz,,Ceramic PGA,A80386DX-16 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX236.html,,,,
Intel,80386,SX246,20MHz,20MHz,,Ceramic PGA,A80386DX-20 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX246.html,,,,
Intel,80386,SX306,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX306.html,,,,
Intel,80386,SX307,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX307.html,,,,
Intel,80386,SX309,20MHz,20MHz,,QFP,NG80386SX-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX309.html,,,,
Intel,80386,SX316,20MHz,20MHz,,QFP,NG80386SX-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX316.html,,,,
Intel,80386,SX317,20MHz,20MHz,,QFP,NG80386SX-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX317.html,,,,
Intel,80386,SX319,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX319.html,,,,
Intel,80386,SX353,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX353.html,,,,
Intel,80386,SX366,33MHz,33MHz,,Ceramic PGA,A80386DX-33 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX366.html,,,,
Intel,80386,SX456,20MHz,20MHz,,QFP,KU80386SL-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX456.html,,,,
Intel,80386,SX481,25MHz,25MHz,,Ceramic PGA,A80386DX-25 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX481.html,,,,
Intel,80386,SX482,33MHz,33MHz,,Ceramic PGA,A80386DX-33 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX482.html,,,,
Intel,80386,SX541,16MHz,16MHz,,Ceramic PGA,A80386DX-16 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX541.html,,,,
Intel,80386,SX542,20MHz,20MHz,,Ceramic PGA,A80386DX-20 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX542.html,,,,
Intel,80386,SX543,25MHz,25MHz,,Ceramic PGA,A80386DX-25 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX543.html,,,,
Intel,80386,SX544,33MHz,33MHz,,Ceramic PGA,A80386DX-33 IV,,,,,,,http://www.cpu-world.com/sspec/SX/SX544.html,,,,
Intel,80386,SX609,20MHz,20MHz,,QFP,KU80386SLB1C-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX609.html,,,,
Intel,80386,SX611,20MHz,20MHz,,QFP,KU80386SLB1C-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX611.html,,,,
Intel,80386,SX615,20MHz,20MHz,,QFP,KU80386SLB1A20,,,,,,,http://www.cpu-world.com/sspec/SX/SX615.html,,,,
Intel,80386,SX621,25MHz,25MHz,,QFP,KU80386SLB1A-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX621.html,,,,
Intel,80386,SX628,25MHz,25MHz,,QFP,NG80386SX-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX628.html,,,,
Intel,80386,SX640,25MHz,25MHz,,QFP,KU80386SLB1C-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX640.html,,,,
Intel,80386,SX653,20MHz,20MHz,,QFP,KU80386SLA1H-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX653.html,,,,
Intel,80386,SX701,25MHz,25MHz,,QFP,NG80386SX-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX701.html,,,,
Intel,80386,SX702,33MHz,33MHz,,QFP,NG80386SX-33,,,,,,,http://www.cpu-world.com/sspec/SX/SX702.html,,,,
Intel,80386,SX711,16MHz,16MHz,,QFP,NG80386SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX711.html,,,,
Intel,80386,SX713,20MHz,20MHz,,QFP,NG80386SXLP20,,,,,,,http://www.cpu-world.com/sspec/SX/SX713.html,,,,
Intel,80386,SYE52,20MHz,20MHz,,QFP,KU80386SLAL-20,,,,,,,http://www.cpu-world.com/sspec/SY/SYE52.html,,,,
Intel,80386,SZ624, , ,,Ceramic PGA,RAPIDCAD-1,,,,,,,http://www.cpu-world.com/sspec/SZ/SZ624.html,,,,
Intel,80387,Q0015, , ,,CPGA,A80387,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0015.html,,,,
Intel,80387,Q613, , ,,CPGA,RAPIDCAD-2,,,,,,,http://www.cpu-world.com/sspec/Q6/Q613.html,,,,
Intel,80387,SC21,20MHz,20MHz,,CPGA,A80387DX-20,,,,,,,http://www.cpu-world.com/sspec/SC/SC21.html,,,,
Intel,80387,SI15,16MHz,16MHz,,CPGA,A80387-16,,,,,,,http://www.cpu-world.com/sspec/SI/SI15.html,,,,
Intel,80387,SM156,16MHz,16MHz,,CPGA,MG80387-16,,,,,,,http://www.cpu-world.com/sspec/SM/SM156.html,,,,
Intel,80387,SX009,16MHz,16MHz,,CPGA,A80387-16B,,,,,,,http://www.cpu-world.com/sspec/SX/SX009.html,,,,
Intel,80387,SX024,20MHz,20MHz,,CPGA,A80387-20B,,,,,,,http://www.cpu-world.com/sspec/SX/SX024.html,,,,
Intel,80387,SX029,16MHz,16MHz,,CPGA,A80387-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX029.html,,,,
Intel,80387,SX030,20MHz,20MHz,,CPGA,A80387-20,,,,,,,http://www.cpu-world.com/sspec/SX/SX030.html,,,,
Intel,80387,SX049,25MHz,25MHz,,CPGA,A80387-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX049.html,,,,
Intel,80387,SX086,25MHz,25MHz,,CPGA,A80387DX-25,,,,,,,http://www.cpu-world.com/sspec/SX/SX086.html,,,,
Intel,80387,SX104,16MHz,16MHz,,CPGA,A80387DX-16,A80387-16,,,,,,http://www.cpu-world.com/sspec/SX/SX104.html,,,,
Intel,80387,SX105,20MHz,20MHz,,CPGA,A80387DX-20,A80387-20,,,,,,http://www.cpu-world.com/sspec/SX/SX105.html,,,,
Intel,80387,SX106,25MHz,25MHz,,CPGA,A80387DX-25,A80387-25,,,,,,http://www.cpu-world.com/sspec/SX/SX106.html,,,,
Intel,80387,SX232,33MHz,33MHz,,CPGA,A80387DX-33,,,,,,,http://www.cpu-world.com/sspec/SX/SX232.html,,,,
Intel,80387,SX237,16MHz,16MHz,,PLCC,N80387SX-16,,,,,,,http://www.cpu-world.com/sspec/SX/SX237.html,,,,
Intel,80387,SZ369,20MHz,20MHz,,PLCC,N80387SX-20,,,,,,,http://www.cpu-world.com/sspec/SZ/SZ369.html,,,,
Intel,80387,SZ507,25MHz,25MHz,,PLCC,N80387SX-25,,,,,,,http://www.cpu-world.com/sspec/SZ/SZ507.html,,,,
Intel,80387,SZ625, , ,,CPGA,RAPIDCAD-2,,,,,,,http://www.cpu-world.com/sspec/SZ/SZ625.html,,,,
Intel,80387,SZ660,25MHz,25MHz,,PLCC,N80387SX-25,,,,,,,http://www.cpu-world.com/sspec/SZ/SZ660.html,,,,
Intel,80387,SZ677, , ,,CPGA,A80387DX,,,,,,,http://www.cpu-world.com/sspec/SZ/SZ677.html,,,,
Intel,80486,Q0119,25MHz,25MHz,,CPGA,A80486-25 PR,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0119.html,,,,
Intel,80486,Q0128,33MHz,33MHz,,CPGA,A80486DX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0128.html,,,,
Intel,80486,Q0129,33?,33?,,CPGA,A80486DX,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0129.html,,,,
Intel,80486,Q0143,25MHz,25MHz,,CPGA,A80486DX-25,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0143.html,,,,
Intel,80486,Q0209,50MHz,50MHz,,CPGA,A80486DX-50,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0209.html,,,,
Intel,80486,Q0364,33MHz,33MHz,,CPGA,A80486DX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0364.html,,,,
Intel,80486,Q0382,50MHz,25MHz,,CPGA,A80486DX2-50,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0382.html,,,,
Intel,80486,Q0384,33MHz,33MHz,,CPGA,A80486SX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0384.html,,,,
Intel,80486,Q0385,33MHz,33MHz,,QFP,KU80486SX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0385.html,,,,
Intel,80486,Q0424,50MHz,25MHz,,CPGA,A80486DX2-50,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0424.html,,,,
Intel,80486,Q0457,75MHz,25MHz,,CPGA,A8P24CA-75,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0457.html,,,,
Intel,80486,Q0459,100MHz,33MHz,,CPGA,A8P24CA-100ES,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0459.html,,,,
Intel,80486,Q0463,75MHz,25MHz,,CPGA,A8P24CA-75,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0463.html,,,,
Intel,80486,Q0498,50MHz,25MHz,,CPGA,A80486SX2-50,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0498.html,,,,
Intel,80486,Q0529,100MHz,33MHz,,CPGA,A80486DX4-100ES,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0529.html,,,,
Intel,80486,Q0531,100MHz,33MHz,,CPGA,A80486DX4-100ES,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0531.html,,,,
Intel,80486,Q0533,100MHz,33MHz,,CPGA,A80486DX4-100ES,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0533.html,,,,
Intel,80486,Q0569,66MHz,33MHz,,CPGA,A80486SX2-66,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0569.html,,,,
Intel,80486,Q0575,33MHz,33MHz,,CPGA,A80486SX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0575.html,,,,
Intel,80486,Q0576,50MHz,25MHz,,CPGA,A80486SX2-50,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0576.html,,,,
Intel,80486,Q0588,33MHz,33MHz,,CPGA,A80486DX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0588.html,,,,
Intel,80486,Q0609,66MHz,33MHz,,CPGA,A80486DX2-66,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0609.html,,,,
Intel,80486,Q0618,66MHz,33MHz,,CPGA,A80486DX2-66,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0618.html,,,,
Intel,80486,Q0652,66MHz,33MHz,,CPGA,A80486DX2-66,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0652.html,,,,
Intel,80486,Q0671,100MHz,33MHz,,CPGA,A80486DX4-100ES,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0671.html,,,,
Intel,80486,Q0716, , ,,CPGA,A80486DX2DICE,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0716.html,,,,
Intel,80486,Q0742,33MHz,33MHz,,QFP,FA80486SX-33,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0742.html,,,,
Intel,80486,Q0746,100MHz,33MHz,,CPGA,A80486DX4-100,,,,,,,http://www.cpu-world.com/sspec/Q0/Q0746.html,,,,
Intel,80486,Q101, , ,,CPGA,A80486,,,,,,,http://www.cpu-world.com/sspec/Q1/Q101.html,,,,
Intel,80486,Q302,50MHz,50MHz,,CPGA,A80486DX-50,,,,,,,http://www.cpu-world.com/sspec/Q3/Q302.html,,,,
Intel,80486,Q349,33MHz,33MHz,,QFP,KU80486SL-33,,,,,,,http://www.cpu-world.com/sspec/Q3/Q349.html,,,,
Intel,80486,Q860,100MHz,33MHz,,SQFP,FC80486DX4-100,,,,,,,http://www.cpu-world.com/sspec/Q8/Q860.html,,,,
Intel,80486,SK047,75MHz,25MHz,,CPGA,A80486DX4-75,,,,,,,http://www.cpu-world.com/sspec/SK/SK047.html,,,,
Intel,80486,SK050,100MHz,33MHz,,CPGA,A80486DX4-100,,,,,,,http://www.cpu-world.com/sspec/SK/SK050.html,,,,
