Generation,Manufacturer,Name,Model,Proceed,Succeed,Location,Product Line,Family,Type,Date,Num Sold,Price,Clone,CPU Family,,Bits,CPU,CPU part label,Speed,Chip 2,Chip 3,Chip 4,Chip 5,Game medium,Game Count,RAM,Graphics,Ram other,Reference 1,Ref 1 Date,Reference 2,Ref 2 Date,Reference 3,Ref 3 Date,Reference 4,Ref 4 Date,Reference 5,Ref 5 Date,Photo 1 link,Photo 1 Date,Photo 2 link,Photo 2 Date,Photo 3 link,Photo 3 Date,Photo 4 link,Photo 4 Date,Notes
,Advance Bright Limited,Console TV Challenge,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,Advance Bright Limited,GunBoy,,,,,,,,,,,Clone: NES,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
3,Advance Bright Limited,N-Joypad,,,,UK,,,Console,2006,,,Clone: Famicom,,,,,,,,,,,Built-in (selectable by plastic disk),56?59,,,,https://en.wikipedia.org/wiki/N-Joypad,01/10/21,https://bootleggames.fandom.com/wiki/N-Joypad,01/10/21,,,,,,,http://ultimateconsoledatabase.com/famiclones/N-joypad.htm,01/10/21,,,,,,,
,Advance Bright Limited,Twin LightBlaster Joypad,,,,,,,,,,,Clone: NES,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Advision,Advision home arcade,,,,France,,,Console,1983?,,,Arcadia 2001 (Emerson),,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,
,Agro TV,Arcade Action,,,,,,,Console,,,,Clone: NES,,1,,,Glob Top encapsilation,,,,,,Built-in,99,,,,http://www.the-liberator.net/site-files/retro-games/hardware/agro-tv-game-system-arcade-action-ut-60/agro-tv-arcade-action-ut-60.htm,01/10/21,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/arcadeaction.htm,01/10/21,,,,,,,
,Aiwa,Mega-CD,,,,,,,Console + CD player,,,,Clone: Sega Genesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Akor,TV Boy 3 (Super TV Boy),,TV Boy 2,,France,,,Console,1995,,,Atari 2600,,,,,,,,,,,Built-in,128,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://bootleggames.fandom.com/wiki/TV_Boy,01/10/21,,,,,,,,,,,,,,,
,All Star Marketing?,30 in 1 TV Games,,,,,,,Console,,,,,,,,,,,,,,,Built-in,30,,,,https://web.archive.org/web/20110206125345/http://nesplayer.com/pirates/30in1tvgames.htm,01/10/21,,,,,,,,,,,,,,,,,
,Amstrad,Amstrad Mega PC 386,,,,,,,Console+PC,,,,Mega drive,386,,32,Intel 386SX,,25MHz,,,,,,,1M,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Analogue,Analogue Nt,,,,,,,Console,2015,,,Clone: NES + Famicom,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Analogue_Nt,01/10/21,,,,,,,,,,,,,,,,,
,Analogue,Analogue Nt mini,,,,,,,Console,2017,,,Clone: NES + Famicom,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Analogue_Nt_min,01/10/21,,,,,,,,,,,,,,,,,
,Analogue,Analogue Pocket,,,,,,,Handheld,2021?,,,"Clone: Game Boy, Game Boy Color, Game Boy Advance, Game Gear, Neo Geo Pocket, Neo Geo Pocket Color, TurboGrafx-16, and Atari Lynx",,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Analogue_Pocket,01/10/21,,,,,,,,,,,,,,,,,
,Analogue,Analogue Super Nt,,,,,,,Console,2018,,,"Clone: SNES, SFC",,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Super_Nt,01/10/21,,,,,,,,,,,,,,,,,
,Analogue,Mega SG,,,,,,,Console,2019,,,"Clone: Sega Genesis / Sega Mega Drive, Sega Game Gear, Sega Master System, Sega Mark III, Sega SG-1000 and Sega SC-3000",,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Analogue_Pocket,01/10/21,,,,,,,,,,,,,,,,,
,Anbernic,Retro FC,,,,,,,Handheld,2018,,,Famiclone,,,,,,,,,,,Built-in,168 originally,,,,https://bootleggames.fandom.com/wiki/Retro_FC,01/10/21,,,,,,,,,,,,,,,,,
,Anbernic or Funny Playing,"Coolboy RS-97, K101 Pro",,,,,,,Handheld,,,,"Emulator: NES, Game Boy, Game Boy Color, SNES, Neo Geo, and Game Boy Advance game",,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Coolboy_RS-97,01/10/21,,,,,,,,,,,,,,,,,
,ApevTech,8 BIT,,,,Argintina,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone#List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,,,
,Asahi,Asahi VCD/MP3/CD game player,,,,,,,Console/VCD/MP3/CD ,,,,Clone: Famicom,,,,,,,,,,,,300 ROMs included,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Asahi,"Super Computer Entertainment System, Super Jumbo",SN-2000,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,Built-in + Cartridge,33 built-in,,,,http://www.nesworld.com/pirate-asahisuperactionset.php,01/10/21,,,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder Family Computer,,,,Asia,,,Console/PC,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder NT 101,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder.htm,01/10/21,,,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder NT 102,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder.htm,01/10/21,,,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder NT 103,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder.htm,01/10/21,,,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder NT 104,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder.htm,01/10/21,,,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder NT 105,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder.htm,01/10/21,,,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder NT 106,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,,,
,Asder (NTDEC),Asder PC 95,,,,,,,Console/PC,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/asder_pc_95.htm,01/10/21,http://blog.naver.com/PostView.nhn?blogId=kevinhwsohn&logNo=221036178723,01/10/21,,,,,,,,,,,,,,,
,AtGames,Firecore,,,,,,,Console,,,,Clone: Sega Genesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AtGames,"Sega Zone, Sega Reactor",,,,UK,,,Console,2010,,£49 ,Clone: Mega Drive (licensed),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sega_Zone_%28console%29,01/10/21,https://bootleggames.fandom.com/wiki/Zone,01/10/21,,,,,,,,,,,,,,,
,Audiosonic,PP-1292,,,,,,1292 APVS,Console,,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Audiosonic,PP-1392,,,,,,1292 APVS,,,,,Clone: 1292 APVS,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-1292_vc4000.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Audiosonic,Telesports IV,,,,,,,Console,,,,Pong,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Aureac,Tele Computer,,,,Spain,,1292 APVS,Console,,,,Clone: 1292 APVS (clone of Palson CX-3000),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/1292_Advanced_Programmable_Video_System,01/10/21,,,,,,,,,,,,,,,,,
,AV&T?,"X-Game 360, Super X-Game 360",,,,,,,Console,,,,Famicom,,,,,,,,,,,Built-in,,,,,https://bootleggames.fandom.com/wiki/X-Game_360,01/10/21,,,,,,,,,,,,,,,,,
,Balkantronic,Terminator 3,,,,,,,,,,,Famicom,,,,,,,,,,,Cartridge ROM,,,,,https://bootleggames.fandom.com/wiki/Terminator,01/10/21,,,,,,,,,,,,,,,,,
,Bandai,Arcadia,,,,Japan,,,Console,1982,,"9,800 yen",Arcadia 2001 (Emerson),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,https://en.wikipedia.org/wiki/Arcadia_2001,01/10/21,,,,,,,,,,,,,,,
2,Bandai,Arcadia 2001 (Japan),,,,,,,Console,1982,,"19,800 yen",Clone: Arcadia 2001 (licensed),2650,1,8,,,3.58 MHz,,,,,ROM,4 exclusive,,,,,,,,,,,,,,,,,,,,,,
,Bandai,Intellivision,,,,,,,,,,,Intellivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barco,Challenger,,,,Italy and Belgium.,,Channel F,Console,1978,,,Clone: Channel F System II (licensed),,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Fairchild_Channel_F,01/10/21,http://videogameconsolelibrary.com/pg70-fairchild.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Batong,"BY-686, Batong 686",,,,,,,Computer + Console,,,,Famiclone PC,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Batong_686,01/10/21,,,,,,,,,,,,,,,,,
,Bente,CreatiVision,,,,,Console,Creativision,Console,,,,Creativision,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg80-creativision.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Bit Corp,Amigo,,,,,,,Console,1983,,,Atari 2600,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://atariage.com/2600/archives/consoles.php,01/10/21,,,,,,,,,,,,,,,
,Bit Corp,BIT-90,,,,,,Colecovision,Console,,,,Clone: Colecovision,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg80-colecovision.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Bit Corp,Chuang Zao Zhe 50,,,,,,Colecovision,Console,1986,,,Clone: ColecoVision and Sega SG-1000,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Chuang_Zao_Zhe_50,01/10/21,,,,,,,,,,,,,,,,,
3,Bit Corporation,Dina,,,,,,,Console,1983,,,Clone of ColecoVision and Sega Master combined,Z80,1,8,,Z80A,3.58MHz,,,,,,,,,,http://www.progettoemma.net/mess/system.php?machine=czz50,01/10/21,,,,,,,,,,,,,,,,,
,Bit Corporation/Telegames,Dina 2-in-1,,,,,,Colecovision,Console,1986,,,Clone: ColecoVision and Sega SG-1000,Z80,1,8,Z80,NEC 780-C (Z80A),3.25MHz,TI TMS9929A (VDP),,,,,,8k,16k,,http://www.videogameconsolelibrary.com/pg80-dina.htm#page=reviews,01/10/21,http://www.videogameconsolelibrary.com/pg80-colecovision.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Blaze,"PocketFami, PokeFami",,,,,,,Handheld,2004,,,Famicom,,,,,,,,,,,ROM,,,,,https://bootleggames.fandom.com/wiki/PocketFami,01/10/21,,,,,,,,,,,,,,,,,
,Blaze,"RetroCon, Retro Console",,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,,,,,,http://www.nesworld.com/pirate-rcon.php,01/10/21,,,,,,,,,,,,,,,,,
,Bluetek,120 in 1 Plug And Play,,,,,,,,,,,Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Bobmark,Pagasus MT777DX,,,,Poland,Pegasus,,Console,1991,,,Clone,,,,,UMC UA6528P,,,,,,,,,,,https://en.wikipedia.org/wiki/Pegasus_(console),01/10/21,https://www.retrojunk.com/article/show/4938/pegasus-polish-nes-clone,01/10/21,,,,,,,,,,,,,,,
,Bobmark,Pegasus Game Boy,,,,,Pegasus,,Handheld,1993,,,Clone: Game Boy,,,,,,,,,,,,,,,,https://www.retrojunk.com/article/show/4938/pegasus-polish-nes-clone,01/10/21,https://bootleggames.fandom.com/wiki/Pegasus,01/10/21,,,,,,,,,,,,,,,
,Bobmark,Pegasus IQ-502,,,,Poland,Pegasus,,,1994,,,Clone: Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Pegasus,01/10/21,,,,,,,,,,,,,,,,,
,Bobmark,Power Pegasus 16-bit,,,,,Pegasus,,Console,1995,,,Clone: Sega Mega Drive,,,,,,,,,,,,,,,,https://www.retrojunk.com/article/show/4938/pegasus-polish-nes-clone,01/10/21,https://bootleggames.fandom.com/wiki/Pegasus,01/10/21,,,,,,,,,,,,,,,
,Bobmark,Super Pegasus,"MT-555DX, MT888-DX, MT999-DX",,,Poland,Pegasus,,,1993,,,,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/super_pegasus.htm,01/10/21,,,,,,,,,http://ultimateconsoledatabase.com/famiclones/super_pegasus.htm,01/10/21,,,,,,,
,Brandt,Brant Jopac JO7400,,,,Europe,,,Console,1983,,,Clone: Videopac+,,,,,,,,,,,,,,,,http://www.digitpress.com/faq/vgcfaq.htm,01/10/21,,,,,,,,,,,,,,,,,
,Brandt Electronique,Jo7400,,,,,,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7400,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Brant,Jopac,,,,France,,,Console,,,,Clone: Philips Videopac,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,,,,,,,,,,,,,,,,,
,Brightech,Brightech FCCP03,,,,,,,,,,,Famicom,,,,,,,,,,,,,,,,https://bootleggames.fandom.com/wiki/Famiclone,01/10/21,,,,,,,,,,,,,,,,,
,Bung,Doctor PC jr.,,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,ROM (Famicom cartridges),,,,,http://ultimateconsoledatabase.com/famiclones.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,https://bootleggames.fandom.com/wiki/Doctor_PC_Jr.,01/10/21,,,,,,,,,,,,,
,CCE,Supergame VG 2800,,,,Brazil,,,Console,,,,Atari 2600,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://atariage.com/2600/archives/consoles.php,01/10/21,,,,,,,,,,,,,,,
,CCE,Top Game VG8000,,,,Brazil,,,Console,1990,,,Clone: Famicom + NES,,,,,,,,,,,,,,,,https://web.archive.org/web/20110206131842/http://nesplayer.com/pirates/index.htm,01/10/21,http://web.archive.org/web/20200103173658/http://www.atarihq.com/tsr/nes/brazil/topgame.jpg,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,,,,,,,
,CCE,Top Game VG9000,,,,Brazil,,,Console,1990,,,Clone: Famicom + NES,,,,,,,,,,,,,,,,https://web.archive.org/web/20110206131842/http://nesplayer.com/pirates/index.htm,01/10/21,https://gameconsole.fandom.com/wiki/List_of_Famiclones,01/10/21,,,,,,,http://web.archive.org/web/20200103173658/http://www.atarihq.com/tsr/nes/brazil/topgame.jpg,01/10/21,,,,,,,
,CCE,Top Guy,,,,,,,,1990,,,"Clone: NES, Famicom",,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,,,,,,,,,,,,,,,,,
,Cheertech,Kid Box,,,,,,,,,,,,,,,,,,,,,,Built-in,36,,,,https://bootleggames.fandom.com/wiki/PX-3600,01/10/21,,,,,,,,,,,,,,,,,
,Cheertech?,PS-Kid,,,,,,,Console,,,,Clone: NES,,,,,,,,,,,Built-in,16,,,,https://bootleggames.fandom.com/wiki/PS-Kid,01/10/21,,,,,,,,,,,,,,,,,
,Cheertech?,PX-3600,,,,,,,Console,,,,Famiclone,,,,,,,,,,,Built-in,36,,,,https://bootleggames.fandom.com/wiki/PX-3600,01/10/21,,,,,,,,,,,,,,,,,
,Cheryco,CreatiVision,,,,,Console,Creativision,Console,,,,Creativision,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg80-creativision.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Coleco,Columbia home arcade,,,,,,,Console,,,,Atari 2600,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://atariage.com/2600/archives/consoles.php,01/10/21,,,,,,,,,,,,,,,
2,Coleco,Gemini,,,,,,,Console,1983,,,Clone of Atari 2600,6502,1,8,6502,Synertec SY6507,1.19MHz,Synertec SYP6532,COLECO 73192,,,,,128B,,,,,,,,,,,,,,,,,,,,,
,Coleco ,ColecoVision Expansion Module,,,,,ColecoVision,,Extension,,,,Clone: Atari 2600,6502,,,,SY6507,,,,,,,,,,,http://www.the-liberator.net/site-files/retro-games/hardware/ColecoVision/colecovision-expansion-moduel-no-1-atari-2600-adapter.htm,01/10/21,,,,,,,,,,,,,,,,,
,Color Dreams,Rumble Station,,,,,,,Console,,,,Famicom,6502 Based,,,NES-on-a-chip ,,,,,,,Built-in,15,,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System_hardware_clone,01/10/21,https://bootleggames.fandom.com/wiki/Rumble_Station,01/10/21,,,,,,,,,,,,,,,
,Conny,Q3,,,,,,,Console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Continental Edison/SABA,Jo1450,,,,,,Odyssey 2 / Videopac,Console,,,,Clone: Philips Videopac G7400,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-odyssey2.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,CoolBaby,"FC Compact, CoolBaby RS-35",,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,Built-in + ROM cartidge,"100 (built-in), 132 (cartridge) ",,,,https://bootleggames.fandom.com/wiki/FC_Compact,01/10/21,,,,,,,,,,,,,,,,,
,CoolBaby,"FC Compact, CoolBaby RS-36",,,,,,,Console,,,,Clone: Famicom,,,,,,,,,,,Built-in + ROM cartidge,"400 (built-in), 132 (cartridge) ",,,,https://bootleggames.fandom.com/wiki/FC_Compact,01/10/21,,,,,,,,,,,,,,,,,
,Coolboy,FC Pocket,,,,,,,Handheld,,,,Famiclone,,,,,,,,,,,Built-in + ROM cartidge,472 built-in +128 catridge,,,,https://bootleggames.fandom.com/wiki/FC_Pocket,01/10/21,,,,,,,,,,,,,,,,,
,CYBER Gadget,Retro Freak,,,,,,,Console,2016,,,"Emulator: Famicom, Super Famicom, Mega Drive, PC Engine, SuperGrafx, Game Boy Advance",,,,,,,,,,,ROM files on micro SD-CARD,,,,,https://bootleggames.fandom.com/wiki/Retro_Freak,01/10/21,,,,,,,,,,,,,,,,,
,Dactar,Dactar II Video Game,,,,Brazil,,,Console,,,,Atari 2600,,,,,,,,,,,,,,,,https://atariage.com/2600/archives/consoles.php,01/10/21,,,,,,,,,,,,,,,,,
,Dactar,Dactar video game,,,,Brazil,,,Console,,,,Atari 2600,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,https://atariage.com/2600/archives/consoles.php,01/10/21,,,,,,,,,,,,,,,
3,Daewoo,"Zemmix CPC-330K ""Kobo""",,,,Korea,Zemmix,,Console/PC/CRT,1988,,,Clone: MSX,Z80,1,8,,,,,,,,ROM Cartridge,,,,,https://web.archive.org/web/20081204222155/http://www.passionmsx.org/smartsection.item.48/MSX-game-consoles.html,01/10/21,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,
3,Daewoo,Zemmix CPC-50,,,,Korea,Zemmix,,Console,1984,,,Clone: MSX,Z80,1,8,Z80,Goldstar Z8400A PS,,Texas Instruments TMS9918ANL (Video),PSG (AY-3-8910A) (Audio),,,,,,16k,,https://www.msx.org/wiki/Daewoo_CPC-50B,01/10/21,https://web.archive.org/web/20081204222155/http://www.passionmsx.org/smartsection.item.48/MSX-game-consoles.html,01/10/21,,,,,,,,,,,,,,,
3,Daewoo,"Zemmix CPC-51 ""Victory""",,,,Korea,Zemmix,,Console,1986,,,Clone: MSX,Z80,1,8,,,,,,,,ROM Cartridge,,,,,https://web.archive.org/web/20081204222155/http://www.passionmsx.org/smartsection.item.48/MSX-game-consoles.html,01/10/21,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,
3,Daewoo,"Zemmix CPC-61 ""Super Victory""",,,,Korea,Zemmix,,Console,1990,,,Clone: MSX,Z80,1,8,,,,,,,,ROM Cartridge,,,,,https://web.archive.org/web/20081204222155/http://www.passionmsx.org/smartsection.item.48/MSX-game-consoles.html,01/10/21,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,
3,Daewoo,"Zemmix CPG-120 ""Turbo""",,,,Korea,Zemmix,,Console,1991,,,Clone: MSX,Z80,1,8,,,,,,,,ROM Cartridge,,,,,https://web.archive.org/web/20081204222155/http://www.passionmsx.org/smartsection.item.48/MSX-game-consoles.html,01/10/21,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,
3,Daewoo,Zemmix Superboy,,,,Korea,Zemmix,,Console + TV,1985,,,Clone: MSX,Z80,1,8,,,,,,,,ROM Cartridge,,,,,https://web.archive.org/web/20081204222155/http://www.passionmsx.org/smartsection.item.48/MSX-game-consoles.html,01/10/21,https://en.wikipedia.org/wiki/Zemmix,01/10/21,,,,,,,,,,,,,,,
,Dar Yar Electronics,,,,,,,,Console,,,,Clone: PC Engine,,,,,TA-15,,TA-16,TA-17,,,,,,,,https://nfggames.com/games/pceclones/,01/10/21,,,,,,,,,,,,,,,,,
4,Delplay,Game Plus,,,,France,Game Master,,,,,,Rebrand: Hartung Game Master,uPD7810,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Game_Master_(console),01/10/21,,,,,,,,,,,,,,,,,
,Dendy,Junior,,,,Russia,Junior,,Console,1992,,,Clone: Famicom,6502 based,,,Ricoh 2A03-compatible,UMC UA6527P,1.77MHz,UMC UA6538 (PPU),,,,,,,,,https://en.wikipedia.org/wiki/Dendy_(console),01/10/21,https://bootleggames.fandom.com/wiki/Dendy_Junior,01/10/21,,,,,,,,,,,,,,,
,Digimed,Intellivision III (Brazil),,,,Brazil,,,Console,1997,,,Intellivision,,,,,,,,,,,,,,,,http://ultimateconsoledatabase.com/others.htm,01/10/21,http://www.videogameconsolelibrary.com/pg70-intelli.htm#page=models,01/10/21,,,,,,,,,,,,,,,
,Digiplay,Intellivision,,,,,,,,,,,Intellivision,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-intelli.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Digiplay,Intellivision II,,,,,,,,,,,Intellivision,,,,,,,,,,,,,,,,http://www.videogameconsolelibrary.com/pg70-intelli.htm#page=models,01/10/21,,,,,,,,,,,,,,,,,
,Dismac,BitSystem,,,,Brazil,,,,,,,Clone: NES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dismac,Dismac Video Game,VG-9100,,,Brazil,,,Console,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
